# Trinity PE 2949 AOB / offset manifest
# generated by tools/audit/pe2949_audit.py from the current source tree
# format: <file>:<line>:<kind>	<symbol>	<pattern|value>

src/game/offsets.h:951:sig	kSig_InvFreePlacements201	48 89 5C 24 10 57 48 83 EC 20 48 89 CB 48 83 39 00 74 ? 31 FF 39 79 08 76 ? 66 0F 1F 44 00 00 89 F8 48 69 C8 E0 00 00 00
src/game/offsets.h:956:empty	kSig_TrItemValueDtor	""
src/game/offsets.h:958:offset	kOff_InvHolder_Container	0x08
src/game/offsets.h:963:offset	kOff_ItemDef_BucketType	0x418
src/game/offsets.h:989:offset	kOff_Sub_IdAllocator	0x10
src/game/offsets.h:990:offset	kOff_IdAlloc_Counter	0x20
src/game/offsets.h:996:offset	kOff_ItemVal_InstanceId	0x00
src/game/offsets.h:997:offset	kOff_ItemVal_Subtype	0x0A
src/game/offsets.h:1002:offset	kOff_Placement_SlotIdx	0xD8
src/game/offsets.h:1018:offset	kOff_Teb_TlsPointer	0x58
src/game/offsets.h:1024:offset	kTls_RealmFlag	0x1F2
src/game/offsets.h:1037:str	kStr_ItemInfoTable	iteminfo
src/game/offsets.h:1038:offset	kOff_ItemResolver_MovGlobal	0x15
src/game/offsets.h:1039:offset	kOff_ItemTable_Count	0x08
src/game/offsets.h:1041:offset	kOff_ItemTable_Defs	0x58
src/game/offsets.h:1042:offset	kOff_ItemDef_Key	0x08
src/game/offsets.h:1073:str	kStr_InventoryInfoTable	Inventory
src/game/offsets.h:1074:sig	kSig_MovR8Rip	4C 8B 05 ?? ?? ?? ??
src/game/offsets.h:1078:offset	kOff_InvDef_Key	0x08
src/game/offsets.h:1084:offset	kOff_InvDef_Name	0x70
src/game/offsets.h:1085:offset	kOff_InvDef_DefSlots	0x48
src/game/offsets.h:1086:offset	kOff_InvDef_MaxSlots	0x4A
src/game/offsets.h:1102:offset	kOff_ItemDef_Name	0x20
src/game/offsets.h:1103:offset	kOff_ItemDef_Groups	0x350
src/game/offsets.h:1104:offset	kOff_ItemDef_Tier	0x210
src/game/offsets.h:1110:offset	kOff_ItemDef_MaxStackCount	0x18
src/game/offsets.h:1111:offset	kOff_ItemDef_ApplyMaxStackCap	0x111
src/game/offsets.h:1142:str	kStr_ItemGroupInfoTable	ItemGroupInfo
src/game/offsets.h:1143:offset	kOff_GrpDef_Name	0x18
src/game/offsets.h:1144:offset	kOff_GrpDef_Order	0x68
src/game/offsets.h:1148:offset	kOff_Vec_Data	0x00
src/game/offsets.h:1149:offset	kOff_Vec_Count	0x08
src/game/offsets.h:1182:str	kStr_StringInfoTable	stringinfo
src/game/offsets.h:1183:offset	kOff_StrDef_Buffer	0x18
src/game/offsets.h:1184:offset	kOff_ItemDef_Icons	0x90
src/game/offsets.h:1185:offset	kOff_IconData_Path	0x00
src/game/offsets.h:1186:offset	kOff_GrpDef_Icon	0x6C
src/game/offsets.h:1191:str	kStr_WantedInfoTable	WantedInfo
src/game/offsets.h:1192:offset	kOff_WantedDef_IncreasePrice	0x18
src/game/offsets.h:1193:offset	kOff_WantedDef_IsBlocked	0x10
src/game/offsets.h:1197:sig	kSig_EvaluateCrimeWantedState	48 89 5C 24 08 48 8B 41 40 45 33 D2 8B 49 48 48 8B DA 4C 6B D9 38 41 B0 07
src/game/offsets.h:1203:sig	kSig_RegisterCrimeEvent	48 89 5C 24 10 55 56 57 41 54 41 55 41 56 41 57 48 8D 6C 24 D9 48 81 EC C0 00 00 00 4D 8B F0
src/game/offsets.h:1222:offset	kOff_GrpDef_Key	0x08
src/game/offsets.h:1249:sig	kSig_LocStringGet	8B 41 18 48 8B 0D ? ? ? ? 3B 41 60 72 08 48 8D 05 ? ? ? ? C3 48 03 41 58 C3
src/game/offsets.h:1252:sig	kSig_LocStringGet_Alt1	8B 51 10 48 8B 05 ?? ?? ?? ?? 48 8B 48 08
src/game/offsets.h:1254:sig	kSig_LocStringGet_Alt2	48 8B 05 ?? ?? ?? ?? 48 8B 48 08 3B 51 08
src/game/offsets.h:1256:sig	kSig_LocStringGet_Legacy	8B 41 10 48 8B 05 ?? ?? ?? ?? 48 8B 48 08
src/game/offsets.h:1258:offset	kOff_LocGet_MovGlobal	0x03
src/game/offsets.h:1259:offset	kOff_LocProv_Offset	0x18
src/game/offsets.h:1260:offset	kOff_LocMgr_Blob	0x58
src/game/offsets.h:1261:offset	kOff_LocBlob_Data	0x00
src/game/offsets.h:1262:offset	kOff_LocBlob_Size	0x08
src/game/offsets.h:1287:sig	kSig_FrameTimerBody	48 8B F9 48 8B 51 60 8B 42 64 89 42 60
src/game/offsets.h:1289:sig	kSig_FrameTimerBody_Pre201	48 8B F9 48 8B 41 60 C5 FA 10 40 64 C5 FA 11 40 60
src/game/offsets.h:1291:offset	kOff_TimeStruct_Delta	0x64
src/game/offsets.h:1292:offset	kOff_TimeStruct_ScaledDelta	0x68
